row,col,deg,state,res
2,18,135,3,-1
2,17,135,0,-1
1,7,45,2,-1
2,15,51,0,-1
2,1,128,1,1
2,18,51,1,-1
2,15,26,2,1
2,13,128,2,-1
1,3,26,0,-1
1,1,143,3,-1
1,7,165,4,1
2,10,51,2,-1
1,11,36,4,-1
2,1,51,0,-1
2,15,128,0,-1
1,4,51,2,-1
1,11,45,3,-1
2,7,36,2,-1
2,3,36,2,-1
2,0,36,2,-1
2,1,128,1,-1
1,15,45,1,-1
1,6,36,0,-1
1,8,36,5,-1
1,14,14,2,-1
2,18,45,4,1
2,5,45,3,-1
1,5,26,1,-1
1,4,14,0,1
2,5,153,1,-1
2,11,36,1,-1
2,17,51,3,-1
2,15,51,1,-1
1,2,128,1,1
1,17,51,1,-1
2,3,165,1,-1
1,11,36,5,-1
2,3,51,1,-1
1,17,128,0,-1
2,6,51,3,-1
2,12,165,3,-1
1,6,165,3,1
2,4,153,2,-1
2,9,135,0,1
2,15,45,2,-1
2,6,51,4,1
1,18,135,0,-1
1,3,51,1,-1
2,16,135,3,1
2,1,51,1,-1
2,5,153,2,-1
1,9,51,4,-1
2,14,51,2,-1
1,17,14,0,-1
1,16,45,3,-1
2,6,26,2,-1
1,0,14,0,-1
1,2,26,1,-1
2,16,143,0,-1
2,16,143,1,-1
2,10,51,3,-1
2,15,45,3,-1
1,6,51,3,-1
2,10,153,1,1
1,17,165,3,-1
2,17,153,0,1
1,14,51,3,-1
2,0,143,2,-1
2,15,45,4,-1
1,13,14,0,-1
2,9,51,2,-1
2,12,51,3,-1
1,14,51,4,-1
1,17,51,2,-1
2,11,51,3,-1
1,9,51,5,-1
2,12,51,4,-1
1,15,51,4,-1
2,13,36,0,-1
2,1,36,0,-1
1,11,51,1,-1
2,15,51,2,-1
1,13,128,2,1
2,4,45,0,-1
2,17,45,3,-1
2,5,45,4,-1
2,18,135,4,1
1,5,45,3,-1
2,5,135,0,-1
1,14,128,0,-1
2,1,45,3,1
1,17,45,2,-1
1,0,36,0,-1
2,4,153,3,-1
2,7,45,3,-1
2,14,26,3,1
2,12,51,5,-1
2,14,36,1,-1
2,3,36,3,-1
1,8,165,1,-1
1,18,14,2,-1
2,12,153,0,-1
2,17,36,1,-1
2,13,36,1,-1
1,9,36,2,-1
2,7,36,3,-1
2,3,36,4,-1
1,0,143,1,-1
2,17,36,2,-1
2,13,36,2,-1
2,10,36,4,-1
2,6,36,3,-1
2,3,36,5,1
2,0,143,3,1
2,16,51,3,-1
1,1,128,1,-1
1,6,153,1,-1
2,10,36,5,-1
1,5,45,4,-1
2,3,143,2,1
1,7,14,0,-1
2,17,36,3,-1
2,4,143,2,1
2,8,143,0,1
2,13,143,0,-1
1,17,143,1,-1
1,16,36,1,-1
2,14,36,2,-1
2,3,165,2,-1
1,11,26,2,-1
1,14,36,0,-1
1,16,143,1,1
2,17,45,4,-1
2,10,51,4,-1
1,7,128,0,1
2,13,51,2,-1
1,15,51,5,-1
1,9,165,0,-1
1,13,51,1,-1
2,14,45,5,-1
1,6,51,4,-1
1,18,153,0,1
1,5,51,2,-1
1,2,26,2,-1
2,18,26,1,1
1,8,153,1,-1
1,9,36,3,-1
2,2,143,1,-1
2,17,36,4,1
